Date,Level 1 Commission ($),Level 2 Commission ($),Level 3 Commission ($),Level 4 Commission ($),Total Commission ($)
2027-02-28,0.00,0.00,120.00,0.00,120.00
2027-03-01,0.00,11.25,0.00,17.50,28.75
2027-03-02,0.00,75.00,0.00,175.00,250.00
2027-03-03,0.00,0.00,3.75,0.00,3.75
2027-03-05,0.00,82.50,150.00,175.00,407.50
2027-03-09,0.00,0.00,7.50,0.00,7.50
2027-03-11,0.00,0.00,15.00,17.50,32.50
2027-03-13,0.00,0.00,75.00,0.00,75.00
2027-03-17,0.00,11.25,15.00,0.00,26.25
2027-03-18,0.00,75.00,78.75,0.00,153.75
2027-03-20,0.00,0.00,0.00,8.75,8.75
2027-03-25,0.00,0.00,0.00,26.25,26.25
2027-03-26,0.00,0.00,7.50,0.00,7.50
2027-03-27,35.00,453.75,813.75,1058.75,2361.25
2027-03-28,0.00,82.50,7.50,17.50,107.50
2027-03-29,0.00,7.50,0.00,0.00,7.50
2027-03-30,0.00,0.00,120.00,0.00,120.00
2027-03-31,0.00,11.25,0.00,17.50,28.75
2027-04-01,0.00,75.00,0.00,175.00,250.00
2027-04-02,0.00,0.00,3.75,0.00,3.75
2027-04-04,0.00,82.50,150.00,175.00,407.50
2027-04-08,0.00,0.00,7.50,0.00,7.50
2027-04-10,0.00,0.00,15.00,17.50,32.50
2027-04-12,0.00,0.00,75.00,0.00,75.00
2027-04-16,0.00,11.25,15.00,0.00,26.25
2027-04-17,0.00,75.00,78.75,0.00,153.75
2027-04-19,0.00,0.00,0.00,8.75,8.75
2027-04-24,0.00,0.00,0.00,26.25,26.25
2027-04-25,0.00,0.00,7.50,0.00,7.50
2027-04-26,35.00,453.75,813.75,1058.75,2361.25
2027-04-27,0.00,82.50,7.50,17.50,107.50
2027-04-28,0.00,7.50,0.00,0.00,7.50
2027-04-29,0.00,0.00,120.00,0.00,120.00
2027-04-30,0.00,11.25,0.00,17.50,28.75
2027-05-01,0.00,75.00,0.00,175.00,250.00
2027-05-02,0.00,0.00,3.75,0.00,3.75
2027-05-04,0.00,82.50,150.00,175.00,407.50
2027-05-08,0.00,0.00,7.50,0.00,7.50
2027-05-10,0.00,0.00,15.00,17.50,32.50
2027-05-12,0.00,0.00,75.00,0.00,75.00
2027-05-16,0.00,11.25,15.00,0.00,26.25
2027-05-17,0.00,75.00,78.75,0.00,153.75
2027-05-19,0.00,0.00,0.00,8.75,8.75
2027-05-24,0.00,0.00,0.00,26.25,26.25
2027-05-25,0.00,0.00,7.50,0.00,7.50
2027-05-26,35.00,453.75,813.75,1058.75,2361.25
2027-05-27,0.00,82.50,7.50,17.50,107.50
2027-05-28,0.00,7.50,0.00,0.00,7.50
2027-05-29,0.00,0.00,120.00,0.00,120.00
2027-05-30,0.00,11.25,0.00,17.50,28.75
2027-05-31,0.00,75.00,0.00,175.00,250.00
2027-06-01,0.00,0.00,3.75,0.00,3.75
2027-06-03,0.00,82.50,150.00,175.00,407.50
2027-06-07,0.00,0.00,7.50,0.00,7.50
2027-06-09,0.00,0.00,15.00,17.50,32.50
2027-06-11,0.00,0.00,75.00,0.00,75.00
2027-06-15,0.00,11.25,15.00,0.00,26.25
2027-06-16,0.00,75.00,78.75,0.00,153.75
2027-06-18,0.00,0.00,0.00,8.75,8.75
2027-06-23,0.00,0.00,0.00,26.25,26.25
2027-06-24,0.00,0.00,7.50,0.00,7.50
2027-06-25,35.00,453.75,813.75,1058.75,2361.25
2027-06-26,0.00,82.50,7.50,17.50,107.50
2027-06-27,0.00,7.50,0.00,0.00,7.50
2027-06-28,0.00,0.00,120.00,0.00,120.00
2027-06-29,0.00,11.25,0.00,17.50,28.75
2027-06-30,0.00,75.00,0.00,175.00,250.00
2027-07-01,0.00,0.00,3.75,0.00,3.75
2027-07-03,0.00,82.50,150.00,175.00,407.50
2027-07-07,0.00,0.00,7.50,0.00,7.50
2027-07-09,0.00,0.00,15.00,17.50,32.50
2027-07-11,0.00,0.00,75.00,0.00,75.00
2027-07-15,0.00,11.25,15.00,0.00,26.25
2027-07-16,0.00,75.00,78.75,0.00,153.75
2027-07-18,0.00,0.00,0.00,8.75,8.75
2027-07-23,0.00,0.00,0.00,26.25,26.25
2027-07-24,0.00,0.00,7.50,0.00,7.50
2027-07-25,35.00,453.75,813.75,1058.75,2361.25
2027-07-26,0.00,82.50,7.50,17.50,107.50
2027-07-27,0.00,7.50,0.00,0.00,7.50
2027-07-28,0.00,0.00,120.00,0.00,120.00
2027-07-29,0.00,11.25,0.00,17.50,28.75
2027-07-30,0.00,75.00,0.00,175.00,250.00
2027-07-31,0.00,0.00,3.75,0.00,3.75
2027-08-02,0.00,82.50,150.00,175.00,407.50
2027-08-06,0.00,0.00,7.50,0.00,7.50
2027-08-08,0.00,0.00,15.00,17.50,32.50
2027-08-10,0.00,0.00,75.00,0.00,75.00
2027-08-14,0.00,11.25,15.00,0.00,26.25
2027-08-15,0.00,75.00,78.75,0.00,153.75
2027-08-17,0.00,0.00,0.00,8.75,8.75
2027-08-22,0.00,0.00,0.00,26.25,26.25
2027-08-23,0.00,0.00,7.50,0.00,7.50
2027-08-24,35.00,453.75,813.75,1058.75,2361.25
2027-08-25,0.00,82.50,7.50,17.50,107.50
2027-08-26,0.00,7.50,0.00,0.00,7.50
2027-08-27,0.00,0.00,120.00,0.00,120.00
2027-08-28,0.00,11.25,0.00,17.50,28.75
2027-08-29,0.00,75.00,0.00,175.00,250.00
2027-08-30,0.00,0.00,3.75,0.00,3.75
2027-09-01,0.00,82.50,150.00,175.00,407.50
2027-09-05,0.00,0.00,7.50,0.00,7.50
2027-09-07,0.00,0.00,15.00,17.50,32.50
2027-09-09,0.00,0.00,75.00,0.00,75.00
2027-09-13,0.00,11.25,15.00,0.00,26.25
2027-09-14,0.00,75.00,78.75,0.00,153.75
2027-09-16,0.00,0.00,0.00,8.75,8.75
2027-09-21,0.00,0.00,0.00,26.25,26.25
2027-09-22,0.00,0.00,7.50,0.00,7.50
2027-09-23,35.00,453.75,813.75,1058.75,2361.25
2027-09-24,0.00,82.50,7.50,17.50,107.50
2027-09-25,0.00,7.50,0.00,0.00,7.50
2027-09-26,0.00,0.00,120.00,0.00,120.00
2027-09-27,0.00,11.25,0.00,17.50,28.75
2027-09-28,0.00,75.00,0.00,175.00,250.00
2027-09-29,0.00,0.00,3.75,0.00,3.75
2027-10-01,0.00,82.50,150.00,175.00,407.50
2027-10-05,0.00,0.00,7.50,0.00,7.50
2027-10-07,0.00,0.00,15.00,17.50,32.50
2027-10-09,0.00,0.00,75.00,0.00,75.00
2027-10-13,0.00,11.25,15.00,0.00,26.25
2027-10-14,0.00,75.00,78.75,0.00,153.75
2027-10-16,0.00,0.00,0.00,8.75,8.75
2027-10-21,0.00,0.00,0.00,26.25,26.25
2027-10-22,0.00,0.00,7.50,0.00,7.50
2027-10-23,35.00,453.75,813.75,1058.75,2361.25
2027-10-24,0.00,82.50,7.50,17.50,107.50
2027-10-25,0.00,7.50,0.00,0.00,7.50
2027-10-26,0.00,0.00,120.00,0.00,120.00
2027-10-27,0.00,11.25,0.00,17.50,28.75
2027-10-28,0.00,75.00,0.00,175.00,250.00
2027-10-29,0.00,0.00,3.75,0.00,3.75
2027-10-31,0.00,82.50,150.00,175.00,407.50
2027-11-04,0.00,0.00,7.50,0.00,7.50
2027-11-06,0.00,0.00,15.00,17.50,32.50
2027-11-08,0.00,0.00,75.00,0.00,75.00
2027-11-12,0.00,11.25,15.00,0.00,26.25
2027-11-13,0.00,75.00,78.75,0.00,153.75
2027-11-15,0.00,0.00,0.00,8.75,8.75
2027-11-20,0.00,0.00,0.00,26.25,26.25
2027-11-21,0.00,0.00,7.50,0.00,7.50
2027-11-22,35.00,453.75,813.75,1058.75,2361.25
2027-11-23,0.00,82.50,7.50,17.50,107.50
2027-11-24,0.00,7.50,0.00,0.00,7.50
2027-11-25,0.00,0.00,120.00,0.00,120.00
2027-11-26,0.00,11.25,0.00,17.50,28.75
2027-11-27,0.00,75.00,0.00,175.00,250.00
2027-11-28,0.00,0.00,3.75,0.00,3.75
2027-11-30,0.00,82.50,150.00,175.00,407.50
2027-12-04,0.00,0.00,7.50,0.00,7.50
2027-12-06,0.00,0.00,15.00,17.50,32.50
2027-12-08,0.00,0.00,75.00,0.00,75.00
2027-12-12,0.00,11.25,15.00,0.00,26.25
2027-12-13,0.00,75.00,78.75,0.00,153.75
2027-12-15,0.00,0.00,0.00,8.75,8.75
2027-12-20,0.00,0.00,0.00,26.25,26.25
2027-12-21,0.00,0.00,7.50,0.00,7.50
2027-12-22,35.00,453.75,813.75,1058.75,2361.25
2027-12-23,0.00,82.50,7.50,17.50,107.50
2027-12-24,0.00,7.50,0.00,0.00,7.50
2027-12-25,0.00,0.00,120.00,0.00,120.00
2027-12-26,0.00,11.25,0.00,17.50,28.75
2027-12-27,0.00,75.00,0.00,175.00,250.00
2027-12-28,0.00,0.00,3.75,0.00,3.75
2027-12-30,0.00,82.50,150.00,175.00,407.50
2028-01-03,0.00,0.00,7.50,0.00,7.50
2028-01-05,0.00,0.00,15.00,17.50,32.50
2028-01-07,0.00,0.00,75.00,0.00,75.00
2028-01-11,0.00,11.25,15.00,0.00,26.25
2028-01-12,0.00,75.00,78.75,0.00,153.75
2028-01-14,0.00,0.00,0.00,8.75,8.75
2028-01-19,0.00,0.00,0.00,26.25,26.25
2028-01-20,0.00,0.00,7.50,0.00,7.50
2028-01-29,0.00,75.00,150.00,175.00,400.00
2028-02-06,0.00,0.00,75.00,0.00,75.00
2028-02-10,0.00,0.00,7.50,0.00,7.50
2028-02-11,0.00,0.00,75.00,0.00,75.00
2028-02-28,0.00,75.00,150.00,175.00,400.00
2028-03-07,0.00,0.00,75.00,0.00,75.00
2028-03-29,0.00,75.00,150.00,175.00,400.00

TOTALS,910.00,20835.00,33682.50,39165.00,94592.50
