Level,User Address,Sponsor,Amount ($),Plan (Months),Start Date
2,0x8e945f7c426f0a9ae3fdcaaa076f3476ffc7675e,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0x49c6c9579245b9242427ce1f10e067106fb3d7e9,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,500,12,2025-01-06
2,0x5c4fdc397b65a0aa94b0886c64ff292248f0bb60,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-26
2,0x2dbf11dc1a6c8c022af56ba7a2fdca57d3f55531,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0xbe8a7bcbff61c54b16031bafee1b60d28d9bfe8c,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0xcdcf22d3974f90a49c183ef01ec49b724e8d69d5,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0x1a226ec2497c01d8b03e70c8a35cf65364b3160c,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0x75fb3d8f87952b88c94e0aedcb2a0f006370570f,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0x06af83600af8d22eccad3d32e53c92f3d985eebe,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0xc7e1c882a73735aca611102ff0d24a8d51edbe3b,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-06
2,0x98abffacefa97a185cfc320dd1c9325c6aa7a2e1,0x8265161eb7b8b986ecaf4317c581e7b13b23ab08,100,12,2025-01-08
2,0xe2e2b71dd0ea47d7c41b1dae46a60f439ce376cc,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,4,2025-01-10
2,0x968ba5f64d6dcc0ba554f3cf9497b3caa90545cf,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,1000,12,2025-01-11
2,0x3e91ff7f492b0eee5fba1a4b4b1590ae10e22d9b,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,4,2025-01-06
2,0x7b2a2f19d4b5a10c313dd4599a9fd534aa4814d4,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,4,2025-01-06
2,0x13f4257b8523b564c6f8fd0de3508c3acb59902d,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-06
2,0xbfdce91a641dc0092f7434427fd2b093d5dd3e6c,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-06
2,0x04e5ff99ebab7df8c48ab4602ebbe5cdbbe0fbc5,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-06
2,0x8895bc41ff94e20f2f64872dd14d1df58b4cdce3,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-14
2,0x551accb7d8e53d5acff65533ce8b69ee408b1d64,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,4,2025-01-06
2,0xf0c7953c8a1f3e6ab2355f2032b513376ebfbda5,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,1000,12,2025-01-06
2,0x7867ae2bb16a85c9d85ee6308d7a383902dfc4d8,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,500,12,2025-01-06
2,0xd76b6922b302de6c1a7ccf922733c38bb6541022,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,4,2025-01-06
2,0xe376733ae9a7a090db5992f8d53498d9844f9f81,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,4,2025-01-26
2,0x8173735fb0ea17ceed4cef4b8719a175dc000b75,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-06
2,0x00feb421bbd413d0b7b67d019837f51f9ed21962,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,4,2025-01-06
2,0xc89b2b7b8e47e7c0947147b8d9722bcf0ca9e4ff,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-06
2,0xd9507c674b95bfaa3f0c9984d92e40bdda34feac,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-06
2,0x0586f72af84f657f07e09bfd09b2d75555c2a2b6,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-06
2,0xafe5deb0667f6d601fe12ab2404e84b0d976460c,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-10
2,0xa1f05876fe80ff182cf4724d7cb9105c2758eb71,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-06
2,0xb618ab1fad804c5f8da6b55c4f6d09446e25ff02,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-06
2,0x77e84382485a08b8e9d1fb9bda7a09dadad5a8a4,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-06
2,0x3f1f7edf4b00c3631d27be13542db860da0c2df3,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,4,2025-01-06
2,0xb69401ee68bb8bdd44720f447eb815fe05b0d1dd,0x808916b6b3926270f81fbfa44aa756b7b61fd9a5,100,12,2025-01-06
3,0x456c79ba1869472c4d2316aef5c8dc20a519d3ac,0xa51200b1ef8ebd7fc9d674b72c6813f1bb12a1eb,500,12,2025-01-06
3,0xdbe414a0c3d94291b5182c6c4099039053bdf20e,0x56100620ab5c9039dfc20c5ce4f8e95c8277ea2b,100,12,2025-02-04
3,0x40423dbcdf8253208dc32bc5731c30be434b0891,0x02fa1b595ef231fceb899f3be555caaabe30c10f,100,12,2025-01-06
3,0x96f76dd779ee6330d67efbcf82ec8547acacc663,0x02fa1b595ef231fceb899f3be555caaabe30c10f,100,12,2025-01-06
3,0x5a52ad731dafa5cf9c15fa959a15eae3abd99a4d,0x71ca67ac6c23466aa3a759f659cc0d09f00a5a98,1000,12,2025-01-09
3,0x882e7fa7c639962904b728e1ee8769dc17ae4fb4,0xb097667a174457e7c10125c663162d45d4fadaae,100,12,2025-01-20
3,0x77074a2cc9f6e74ef66bcb502fd211f3455e67d8,0x6b06c5d828b1576fae1d90a204044355b47ea7ab,1000,12,2025-04-14
3,0x8f833095987c5de41448dbd3108a2b752ec88122,0x2ea7e032a9e9859c67b55d29eeb0927ad763affa,100,12,2025-01-06
3,0x2f2379ed03d25698eac479746fc511675a426f81,0xaea2a543d482b40d1d848b1cc72b40284a46645c,1000,12,2025-04-14
3,0xdbf89f08ffb210b2b266fc1cb0c44b8c26f2abd7,0x8e945f7c426f0a9ae3fdcaaa076f3476ffc7675e,1000,12,2025-01-06
3,0x9c92ce55d72326897fdd1d02ada937639924ad43,0x49c6c9579245b9242427ce1f10e067106fb3d7e9,1000,12,2025-01-06
3,0x7aaadb91ea9f264518909e6e2a5eea176544969a,0x5c4fdc397b65a0aa94b0886c64ff292248f0bb60,100,12,2025-01-26
3,0x87d79df82db47c55fdfaebec8be04050519d1406,0x2dbf11dc1a6c8c022af56ba7a2fdca57d3f55531,100,12,2025-01-06
3,0xeb9fb0d1e5068c4b08b6f253d9ab59ebbfe64131,0x2dbf11dc1a6c8c022af56ba7a2fdca57d3f55531,1000,12,2025-01-06
3,0xaf4e0e619e3d3299843a8366a91dd0867282757f,0x2dbf11dc1a6c8c022af56ba7a2fdca57d3f55531,100,12,2025-01-06
3,0x58c5338b1d1d1d67e9b45fcc8bbffd6ef4832c30,0x2dbf11dc1a6c8c022af56ba7a2fdca57d3f55531,100,12,2025-01-06
3,0x40c0935fe1a246bf55269d8fbd6938777292edc4,0xbe8a7bcbff61c54b16031bafee1b60d28d9bfe8c,100,12,2025-01-06
3,0x907250561a67207b2048e719aed4da24d9c406bb,0xbe8a7bcbff61c54b16031bafee1b60d28d9bfe8c,100,12,2025-01-06
3,0xc39397ba107e19c8acf8e7e73cac392d68200718,0xbe8a7bcbff61c54b16031bafee1b60d28d9bfe8c,100,12,2025-01-06
3,0x102e00436cdfa2cc1ca34e85927d68ab35bdd7b9,0xcdcf22d3974f90a49c183ef01ec49b724e8d69d5,100,12,2025-01-06
3,0x5d27f2f58949c8a902d53247441fb067b312c8b4,0x1a226ec2497c01d8b03e70c8a35cf65364b3160c,100,12,2025-01-06
3,0xb7e37c8ff6d794a67161264593aaa7721f15fc46,0x75fb3d8f87952b88c94e0aedcb2a0f006370570f,100,12,2025-01-06
3,0x4ff7a61aadab23578bdb35f76407773668b37da3,0x75fb3d8f87952b88c94e0aedcb2a0f006370570f,100,12,2025-01-06
3,0x5cb7d49c2e604c7e0d40170adba7d9ede79ac350,0x06af83600af8d22eccad3d32e53c92f3d985eebe,100,12,2025-01-07
3,0x675311d5402df170e484c5454a6851b6dc6c20af,0x06af83600af8d22eccad3d32e53c92f3d985eebe,100,12,2025-01-06
3,0xeb0659e2f63635a33468e385a082931e0533d7f1,0xc7e1c882a73735aca611102ff0d24a8d51edbe3b,100,12,2025-01-06
3,0xeaea29c76babc2a273079e50d2926a18372b8b25,0xc7e1c882a73735aca611102ff0d24a8d51edbe3b,100,12,2025-01-09
3,0x945efa8d02adc32e0b8b2118505ba5bc7763a1cb,0xe2e2b71dd0ea47d7c41b1dae46a60f439ce376cc,1000,12,2025-02-26
3,0x33b91e96c724940fe9837b95add8d6db2529cc49,0xe2e2b71dd0ea47d7c41b1dae46a60f439ce376cc,100,4,2025-01-27
3,0xf4760a77c33e898ac7f23473b980454d22d4acc9,0x3e91ff7f492b0eee5fba1a4b4b1590ae10e22d9b,100,12,2025-01-06
3,0x472eb18ab6a6ebce60bb9bf7e094f5781fa09457,0x3e91ff7f492b0eee5fba1a4b4b1590ae10e22d9b,1000,12,2025-01-06
3,0xa8f35a0fd333ff03d81de0a9c3f1ed7e8c23b3f8,0x7b2a2f19d4b5a10c313dd4599a9fd534aa4814d4,100,4,2025-01-06
3,0x852a6ec9d543593a6a20d7547f5348e5670e4543,0x7b2a2f19d4b5a10c313dd4599a9fd534aa4814d4,100,4,2025-01-06
3,0x26eb3b0099616b1cfb3eb8caba16d1924438e5ec,0x7b2a2f19d4b5a10c313dd4599a9fd534aa4814d4,100,12,2025-01-20
3,0xbeaefaa2936d9b62fc9378b4a4b54fc902b4a23d,0x7b2a2f19d4b5a10c313dd4599a9fd534aa4814d4,100,6,2025-01-06
3,0xac5c5bdea31ade5a5c3da563ae96a3a9081df5cd,0xbfdce91a641dc0092f7434427fd2b093d5dd3e6c,1000,12,2025-01-06
3,0xcb7f9c80e81da9e103692e00c508155a3d087a5c,0x04e5ff99ebab7df8c48ab4602ebbe5cdbbe0fbc5,100,12,2025-01-06
3,0x884c22e072c19500809e6b91d7a6fff2c9552fcd,0x04e5ff99ebab7df8c48ab4602ebbe5cdbbe0fbc5,100,12,2025-01-06
3,0xabd1fc36727a1e45578a0626a413fe1e92ea0e34,0x551accb7d8e53d5acff65533ce8b69ee408b1d64,100,4,2025-01-06
3,0xd9dd3f3f4f8b214a8b56f92ff4b1d7eaed211983,0xf0c7953c8a1f3e6ab2355f2032b513376ebfbda5,100,12,2025-01-06
3,0xa7b575ccde4a9646b12dbad6b6ff4847da045b11,0xf0c7953c8a1f3e6ab2355f2032b513376ebfbda5,100,12,2025-01-06
3,0x603ef299a7ce94361778b526a9a16cb749271c84,0x7867ae2bb16a85c9d85ee6308d7a383902dfc4d8,500,12,2025-01-06
3,0xf3aa8b1228b6227462cfd2054a4ad3ad4f3d398d,0x7867ae2bb16a85c9d85ee6308d7a383902dfc4d8,500,12,2025-01-06
3,0xe7e31cc5473280bb5d9a41fc5a753ec805cce3b4,0xd76b6922b302de6c1a7ccf922733c38bb6541022,100,4,2025-01-06
3,0x9cd50138dae7bead9af13e88a7562c3372723be9,0x8173735fb0ea17ceed4cef4b8719a175dc000b75,100,12,2025-01-06
3,0xa62a7b231b8696704792b078174ac3b91835094f,0x8173735fb0ea17ceed4cef4b8719a175dc000b75,500,12,2025-01-09
3,0xa6fbe3d3dda9346cd8286dff6627b48beee20b0d,0xc89b2b7b8e47e7c0947147b8d9722bcf0ca9e4ff,100,12,2025-01-06
3,0x28c543227efc37ad23c14d7f41352b494abe8f31,0xd9507c674b95bfaa3f0c9984d92e40bdda34feac,1000,12,2025-01-06
3,0x6a5d6dffcf927c024ffddc1cbbfd1f65069ee16b,0x0586f72af84f657f07e09bfd09b2d75555c2a2b6,100,12,2025-01-06
3,0x8b7a4e675598b6fff7c570070d2ef874e9bfad14,0xafe5deb0667f6d601fe12ab2404e84b0d976460c,100,12,2025-01-18
3,0xd6067bc277053ee731198c2eb1f0c12df0db69d8,0xafe5deb0667f6d601fe12ab2404e84b0d976460c,100,6,2025-01-12
3,0x4fd0e0a5dfa06a4d06d8d91018afdc0ed0e6b19c,0xa1f05876fe80ff182cf4724d7cb9105c2758eb71,100,12,2025-01-06
3,0x5bc51a3450146f0c5c5671e209db28f5d620d2c5,0xa1f05876fe80ff182cf4724d7cb9105c2758eb71,100,12,2025-01-06
3,0xc3b97bd6f8caf1de22cbb3708796f363b1468b5e,0xb618ab1fad804c5f8da6b55c4f6d09446e25ff02,100,12,2025-01-06
3,0xa0f306b4e0841fe57cac3767094c7d90c29ce90d,0xb69401ee68bb8bdd44720f447eb815fe05b0d1dd,100,12,2025-02-25
3,0xc9fb44ab147416fa6ab9946dd221c9b9aef6b343,0xb69401ee68bb8bdd44720f447eb815fe05b0d1dd,500,12,2025-01-06
3,0xb65dbdf3e706225229f6c1b8b6536be0a4496018,0xb69401ee68bb8bdd44720f447eb815fe05b0d1dd,1000,12,2025-03-23
4,0x9542863088104bb3c973dfc3133391f64207ae1e,0x456c79ba1869472c4d2316aef5c8dc20a519d3ac,100,12,2025-01-07
4,0x4a808b2e630d9acd4d0930a46dfc05140378b00f,0x40423dbcdf8253208dc32bc5731c30be434b0891,100,12,2025-01-06
4,0xa2d66f84728880622833fcd03a6c6888bb65e19c,0x96f76dd779ee6330d67efbcf82ec8547acacc663,100,12,2025-01-06
4,0x02f08a9180c0ad1ad154718fdf4a1b8dde06c28a,0x2f2379ed03d25698eac479746fc511675a426f81,1000,12,2025-04-14
4,0xfd80f8584009a92099fe5db40378883e8110c09e,0xdbf89f08ffb210b2b266fc1cb0c44b8c26f2abd7,1000,12,2025-01-11
4,0xe7dbb478922883a90849af3a23a0a9afb02c0fd5,0x9c92ce55d72326897fdd1d02ada937639924ad43,100,12,2025-01-06
4,0x1f92d87bd6026c1e3e7e4fd54432ad48c4c04eff,0x907250561a67207b2048e719aed4da24d9c406bb,100,12,2025-01-06
4,0x6732a7a6eaa64bc2c1edda504d36dcd34d92f92e,0x5d27f2f58949c8a902d53247441fb067b312c8b4,100,12,2025-01-06
4,0xc7b32362e9609736566150bd96cc6f1175a7d480,0x5cb7d49c2e604c7e0d40170adba7d9ede79ac350,100,12,2025-02-03
4,0xc6ac1c4d44bec5c4d7c620add474d046f0b9ef14,0xeb0659e2f63635a33468e385a082931e0533d7f1,500,12,2025-01-06
4,0xc9f86b0d5b94992643d72afcdfd9207bee0bade1,0xeaea29c76babc2a273079e50d2926a18372b8b25,100,12,2025-01-10
4,0x5ff4a6a4e99f78ed96c3d2d32d13a7e58358d8b5,0x33b91e96c724940fe9837b95add8d6db2529cc49,100,4,2025-01-29
4,0x3e4bf87c0be0ab120da06a2f373aca8ef9aaa475,0x33b91e96c724940fe9837b95add8d6db2529cc49,100,4,2025-02-03
4,0xddb430af70f8fa626f887b16b1aa89ef6594aa0e,0xf4760a77c33e898ac7f23473b980454d22d4acc9,100,12,2025-01-06
4,0xe00c273c8b7bd4b8f08c8f60465afebb17ba9974,0xa8f35a0fd333ff03d81de0a9c3f1ed7e8c23b3f8,100,4,2025-01-06
4,0x8548078fb32e4b1fb496620d0003a588dc8d8e6a,0x852a6ec9d543593a6a20d7547f5348e5670e4543,1000,4,2025-01-06
4,0x7284b37f73e4966944c7dd7a29fe4d5a09af3c6b,0x852a6ec9d543593a6a20d7547f5348e5670e4543,1000,12,2025-01-06
4,0xd769dd65dd72eea82826533e693c68f78e8fbaf8,0x852a6ec9d543593a6a20d7547f5348e5670e4543,500,12,2025-01-06
4,0x5d3f5d109fc52789c058ee83b454ea3a6fdce78d,0x852a6ec9d543593a6a20d7547f5348e5670e4543,1000,12,2025-01-06
4,0x997fe2ca13f3d73da70fe94c85bd9cd764969e32,0x26eb3b0099616b1cfb3eb8caba16d1924438e5ec,100,12,2025-01-20
4,0x8b8c2ee71b40683044401558107837536ef0e9bf,0xbeaefaa2936d9b62fc9378b4a4b54fc902b4a23d,100,12,2025-01-06
4,0xc86a0f0e589e920e3d70a82999615b9ee1818a21,0x884c22e072c19500809e6b91d7a6fff2c9552fcd,100,12,2025-01-06
4,0xc07e7e9bad9fb7365e9a3bf8430e0ff90d1de686,0xabd1fc36727a1e45578a0626a413fe1e92ea0e34,100,4,2025-01-06
4,0xa50b8c60ab3beffb0ab1131f50c7429716c9dc87,0xf3aa8b1228b6227462cfd2054a4ad3ad4f3d398d,100,12,2025-01-06
4,0xc2710ddebb6f398267dbf3bdfb4b4c0003be1bad,0xe7e31cc5473280bb5d9a41fc5a753ec805cce3b4,100,4,2025-01-06
4,0x7fff16329350be2c4952b08ef6b7a5bdc49075ad,0xa6fbe3d3dda9346cd8286dff6627b48beee20b0d,1000,12,2025-01-06
4,0x35da794727e9823dad75976982e5b465ddb0e9af,0x28c543227efc37ad23c14d7f41352b494abe8f31,100,12,2025-01-06
4,0xa3b5887800d81b59c418ba192c6fe528d042dbbd,0x6a5d6dffcf927c024ffddc1cbbfd1f65069ee16b,100,12,2025-01-06
4,0x0ac73694feef6efdfdab777bc91386ae1144c66f,0x4fd0e0a5dfa06a4d06d8d91018afdc0ed0e6b19c,100,12,2025-01-06
4,0x075a8423beb7caaef666274593f9568d4d98534f,0xc3b97bd6f8caf1de22cbb3708796f363b1468b5e,100,12,2025-01-06
4,0xc3cadb66ee2516c2b3fa50f6c74207843d70f6bf,0xc9fb44ab147416fa6ab9946dd221c9b9aef6b343,100,12,2025-01-06
